id,business_type,minimum_requirements,people_needed,core_skills,strategies,risks,min_capital,startup_cost,business_setup,experience_level,category,full_start_capital,micro_start_capital,required_resources,optional_resources,start_small_description,location_dependency,philippine_context,catalog_status,market_category
76,Transport Business,Trucks permits,5-50 drivers,Route cost planning,Corporate tieups,Fuel prices,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Intermediate,General,150000.0,37500.0,Trucks permits,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
77,Travel Agency,Office systems,2-8 staff,Booking planning,Holiday packages,Seasonal demand,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Office systems,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
78,Tuition Center,Rooms faculty,1-5 teachers,Teaching results,Parent trust,Competition,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Rooms faculty,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
79,Used Car Dealership,Yard capital,2-8 staff,Vehicle evaluation,Transparent pricing,Legal disputes,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Yard capital,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
80,Vehicle Rental,Cars bikes,2-6 staff,Maintenance booking,App tieups,Damage theft,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Cars bikes,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
81,Video Production House,Cameras editing suite,3-15 staff,Filming editing,Corporate clients,High equipment cost,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Cameras editing suite,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
82,Water Purifier Sales,Inventory installers,2-8 staff,Product demo service,AMC plans,Competition,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Inventory installers,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
83,Web Hosting Business,Servers support,Solo-5 staff,Infrastructure management,Recurring plans,Downtime,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Servers support,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
84,Wedding Planning,Vendors network,2-10 staff,Event coordination,Premium branding,Client pressure,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Vendors network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
85,Wholesale Distribution,Warehouse vehicles,3-15 staff,Supply management,Dealer relations,Credit risk,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Warehouse vehicles,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
86,Wood Furniture Unit,Workshop machines,5-30 workers,Carpentry finishing,Bulk orders,Raw wood cost,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Intermediate,General,150000.0,37500.0,Workshop machines,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
87,YouTube / Content Creation,Mobile camera,Solo-3 team,Storytelling editing,Consistency niche,Income delay,5000.0,"₱5,000 - ₱15,000",Service / Mobile,Beginner,General,5000.0,1250.0,Mobile camera,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,location_independent,
88,Agro Processing Unit,Factory license,5-30 workers,Processing storage,Value addition,Compliance,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Factory license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
89,AI Services Company,Laptops cloud,3-20 staff,AI deployment consulting,Enterprise clients,Skill shortage,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Laptops cloud,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
90,Bio Fertilizer Unit,Land lab setup,3-15 staff,Chemical formulation,Farmer education,Adoption lag,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Land lab setup,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
91,Call Center,BPO infrastructure,20-200 agents,Communication CRM,Service contracts,Attrition,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,BPO infrastructure,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,deprioritized,
92,Digital Products Store,Laptop platform,Solo,Product creation marketing,Automation,Low visibility,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Laptop platform,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,location_independent,
93,Eco Friendly Products,Manufacturing sourcing,5-25 staff,Green materials branding,Awareness,Cost,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Manufacturing sourcing,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
94,Education Consultancy,Office counselors,2-10 staff,Guidance documentation,Trust reputation,Policy changes,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Office counselors,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
95,Export Handicrafts,Artisan network,3-15 staff,Quality control,International fairs,Logistics delays,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Artisan network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
96,Financial Advisory,Certification trust,Solo-5 advisors,Planning compliance,Client referrals,Market trust,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Experienced,General,5000.0,1250.0,Certification trust,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
97,Franchise Food Outlet,Capital agreement,10-40 staff,SOP execution,Location traffic,High royalties,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Capital agreement,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
98,Green Energy Installation,Tools certifications,3-15 technicians,Solar wind setup,Government subsidies,Policy risk,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Tools certifications,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
99,HR Consulting,Expertise tools,1-5 consultants,Hiring strategy,Corporate retainers,Client churn,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Expertise tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
100,Agriculture / Dairy / Poultry,Land sheds feed,2-20 workers,Farm management logistics,Diversification,Disease weather,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Land sheds feed,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
101,EV Charging Point,Parking area power setup,1-4 staff,Operations billing maintenance,Location partnerships subscription plans,Power downtime,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Parking area power setup,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
102,Home Cleaning Service,Basic equipment transport,3-12 staff,Service quality scheduling,App bookings repeat clients,Staff churn,75000.0,"₱75,000 - ₱120,000",Service / Mobile,Beginner,General,75000.0,18750.0,Basic equipment transport,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
103,Pet Grooming Studio,Small shop tools supplies,2-6 staff,Grooming hygiene customer handling,Membership packages social media,Injury liability,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Small shop tools supplies,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
104,Custom T-Shirt Printing,Printer blanks design software,2-7 staff,Design printing order management,Bulk college orders online store,Seasonal demand drops,35000.0,"₱35,000 - ₱60,000",Online / Home-Based,Beginner,General,35000.0,8750.0,Printer blanks design software,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
105,Drone Photography Services,Drones licenses editing tools,1-5 staff,Flying cinematography editing,Wedding and real estate packages,Regulatory violations,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Drones licenses editing tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
106,Organic Store,Retail space supplier network,2-8 staff,Sourcing merchandising billing,Local sourcing subscriptions,Inventory spoilage,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Retail space supplier network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
107,3D Printing Lab,3D printers CAD software,2-6 staff,CAD prototyping machine operation,College and startup contracts,Machine breakdown,35000.0,"₱35,000 - ₱60,000",Online / Home-Based,Beginner,General,35000.0,8750.0,3D printers CAD software,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
108,Podcast Production Studio,Audio setup editing suite,1-4 staff,Audio editing scripting distribution,Niche content sponsorships,Audience growth slow,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Audio setup editing suite,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
109,Online Tutoring Platform,Laptop internet scheduling tools,2-20 tutors,Teaching communication operations,Target exam segments testimonials,High competition,75000.0,"₱75,000 - ₱120,000",Online / Home-Based,Beginner,General,75000.0,18750.0,Laptop internet scheduling tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
110,Mobile Car Wash,Water supply kits local permits,2-6 staff,Detailing customer service pricing,Subscription model locality focus,Weather dependency,35000.0,"₱35,000 - ₱60,000",Physical Store,Intermediate,General,35000.0,8750.0,Water supply kits local permits,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
111,Solar Panel Maintenance,Tools safety kit transport,2-5 staff,Electrical safety diagnostics,AMC contracts referral network,Safety incidents,35000.0,"₱35,000 - ₱60,000",Service / Mobile,Beginner,General,35000.0,8750.0,Tools safety kit transport,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
112,Event Decor Service,Inventory warehouse vendor tieups,3-15 staff,Design planning execution,Theme specialization vendor discounts,Last-minute cancellations,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Inventory warehouse vendor tieups,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
113,Meal Prep Subscription,Kitchen compliance packaging,3-12 staff,Nutrition planning logistics,Weekly plans corporate tieups,Delivery delays,75000.0,"₱75,000 - ₱120,000",Physical Store,Experienced,General,75000.0,18750.0,Kitchen compliance packaging,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
114,Language Training Center,Classroom online tools,2-10 staff,Teaching curriculum management,Exam-based batches,Low student retention,35000.0,"₱35,000 - ₱60,000",Online / Home-Based,Beginner,General,35000.0,8750.0,Classroom online tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
115,Mini Logistics Hub,Storage space transport vehicles,4-20 staff,Routing inventory tracking,SME delivery partnerships,Fuel price volatility,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Storage space transport vehicles,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
116,Second-Hand Electronics Store,Shop inventory testing tools,2-6 staff,Diagnostics sales negotiation,Warranty assurance refurbishment,Return fraud,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Shop inventory testing tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
117,Digital Signage Solutions,Displays installation team,2-8 staff,Hardware software integration,AMC + ad content plans,Hardware failures,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Displays installation team,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
118,Art Workshop Studio,Studio materials online promotion,1-5 staff,Creative teaching community building,Weekend workshops memberships,Irregular footfall,15000.0,"₱15,000 - ₱30,000",Online / Home-Based,Intermediate,General,15000.0,3750.0,Studio materials online promotion,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
119,Recruitment Boutique,Firm registration sourcing tools,2-12 staff,Sourcing interviewing client mgmt,Niche hiring specialization,Client payment delays,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Firm registration sourcing tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
120,Sari-sari Store,"Home window or storefront, basic wooden shelving, small display jar containers",1 person,"sales, customer service, basic bookkeeping, inventory","Focus on fast-moving FMCG goods (coffee sachets, noodles, cooking oil, canned goods, mobile load). Maintain strict cash discipline.","Uncollected neighborhood credit ('pautang'), stock pilferage, high local competition.",5000.0,"₱3,000 - ₱35,000",Home-Based,Beginner,Retail,35000.0,3000.0,"Home window or counter, wooden shelving, basic stock containers","Mini glass display, digital POS / load wallet terminal","Start with ₱3,000 using your front window to stock 10 fast-moving pantry essentials and telco load.",HIGH,The primary neighborhood consumer touchpoint in the Philippines with high daily foot traffic.,active,Retail
121,Home-Based Packed Meals / Ulam Service,"Home kitchen, standard pots and pans, reusable or biodegradable meal containers",1 person,"cooking, food costing, social media, packaging","Operate strictly on a pre-order basis for local office workers, clinic staff, and teachers to eliminate food waste.","Perishable ingredients price volatility, last-minute order cancellations.",3000.0,"₱2,000 - ₱25,000",Home / Online,Beginner,Food,25000.0,2000.0,"Existing home stove, cookware, food-grade takeout containers","Thermal delivery bag, custom logo stickers",Cook 8-10 pre-ordered lunch portions daily using existing kitchen tools.,HIGH,High recurring lunchtime demand across commercial hubs and school faculties.,active,Food
122,Motorcycle Wash & Detailing,"Pressure sprayer nozzle, automotive shampoo, microfiber cloths, reliable water line",1 person,"cleaning, customer service, vehicle detailing",Offer weekend driveway washes inside subdivisions or partner with neighborhood tricycle operator groups.,"Water supply interruptions, rainy season slowdowns.",3500.0,"₱2,500 - ₱30,000",Service / Mobile,Beginner,Automotive,30000.0,2500.0,"Pressure sprayer nozzle, car shampoo, microfiber cloths, sponge, bucket","Electric high-pressure washer, tire shine polish",Operate as a weekend driveway service for neighborhood motorbikes and delivery riders.,HIGH,CALABARZON hosts dense commuter motorcycle and delivery rider populations.,active,Automotive
123,Kakanin & Native Delicacies,"Steamer, large mixing bowls, banana leaves, bilao trays",1 person,"baking, cooking, packaging, presentation","Supply bilao orders for church gatherings, barangay events, and family celebrations.","Short shelf life, coconut milk spoilage in warm weather.",2000.0,"₱1,500 - ₱15,000",Home-Based,Beginner,Food,15000.0,1500.0,"Multi-layer steamer, mixing bowls, banana leaves, bilao trays","Sealing machine, branded ribbon ties","Start with small batches of puto, kutsinta, or biko for weekend advance orders.",HIGH,Traditional celebration delicacy with steady weekend and holiday demand.,active,Food
124,Printing & Photocopy Services,"Continuous ink tank printer, ream of bond paper, desktop computer or laptop",1 person,"computer literacy, printing, document formatting","Locate near schools, barangay halls, or terminals to serve student modules and government document printing.","Ink head clogging, paper jams, high electricity costs.",6000.0,"₱4,500 - ₱40,000",Home / Store,Beginner,Technology,40000.0,4500.0,"Continuous ink tank printer, ream of bond paper, desktop computer or laptop","Laminator, heavy-duty stapler, paper cutter",Set up a desktop ink-tank printer at home offering student document prints and ID copies.,HIGH,"High recurring necessity for barangay clearances, school modules, and government forms.",active,Technology
125,Ukay-ukay / Preloved Clothing,"Steam iron, clothing rack, clear lighting for social media posts",1 person,"sales, fashion curation, social media, photography","Wash, steam, and curate vintage or branded pieces to sell via Facebook Live or weekend community pop-ups.","Unpredictable bale quality, dead stock.",4000.0,"₱2,500 - ₱35,000",Online / Home,Beginner,Retail,35000.0,2500.0,"Garment steamer/iron, hanger rack, smartphone for photos","Mannequin torso, ring light",Purchase small curated thrift lots (20-30 pieces) before investing in a full bale.,MEDIUM,Popular budget-friendly fashion culture across all demographics.,active,Retail
126,Seedling Nursery & Plant Care,"Potting soil, seedling trays, sunny yard or balcony space",1 person,"gardening, propagation, plant care, customer service","Propagate culinary herbs (basil, rosemary) and easy-care indoor plants for suburban homeowners.","Plant pest infestations, adverse weather/typhoons.",3000.0,"₱2,000 - ₱25,000",Home-Based,Beginner,Skilled Trades,25000.0,2000.0,"Potting mix, seed starter trays, watering nozzle, small garden trowel","Greenhouse shade netting, organic fertilizer stock",Propagate cuttings in recycled containers from your home garden.,MEDIUM,High demand among suburban subdivision homeowners and urban gardeners in CALABARZON.,active,Skilled Trades
127,Farm Produce Reselling,"Transport baskets, commercial weight scale, folding table",1 person,"sales, negotiation, quality inspection, inventory",Source wholesale vegetables directly from trading posts (e.g. Tanauan or Sariaya) and distribute to neighborhood subdivisions.,"Perishable produce wilting, transport delays.",5000.0,"₱3,000 - ₱30,000",Mobile / Market,Beginner,Retail,30000.0,3000.0,"Market crates, hanging produce scale, cart or folding table","Delivery motorbike, shade umbrella","Buy 2 crates of in-demand vegetables (onions, tomatoes, garlic) for weekend subdivision rounds.",HIGH,Direct farm-to-neighborhood distribution leveraging CALABARZON's agricultural trading hubs.,active,Retail
